,PLYBAK,mean.class,SE,df,asymp.LCL,asymp.UCL,.group
8,Dia_dia,0.406272266,0.235809781,Inf,-0.055906413,0.868450945,1
9,Flo_mel,0.421207331,0.25672368,Inf,-0.081961836,0.924376498,1
10,Pur_ton,0.427274391,0.327881608,Inf,-0.215361752,1.069910534,12
3,Ano_wet,0.8500453,0.299681389,Inf,0.262680572,1.437410029,12
6,Den_ebr,1.094575019,0.307726057,Inf,0.491443031,1.697707008,123
2,Ano_dry,1.326085486,0.352350219,Inf,0.635491746,2.016679226,123
1,Pri_tae,1.639858959,0.354702189,Inf,0.944655442,2.335062475,234
7,Sci_bou,2.207829188,0.342685077,Inf,1.536178778,2.879479598,34
4,Cra_fitz,2.229426179,0.345318072,Inf,1.552615196,2.906237163,34
5,Eng_pus,2.721202742,0.341380973,Inf,2.05210833,3.390297154,4